证券代码,证券简称,行业名称,总市值,区间涨跌幅
000897.SZ,津滨发展,房地产,"3,978,489,695.64",17.1429
000898.SZ,鞍钢股份,钢铁,"28,317,819,051.90",-6.0954
000899.SZ,赣能股份,电力及公用事业,"7,015,123,094.40",51.1455
000900.SZ,现代投资,交通运输,"6,602,553,252.90",3.8018
000901.SZ,航天科技,国防军工,"7,718,607,596.02",3.2647
000902.SZ,新洋丰,基础化工,"20,037,569,894.40",98.8694
000903.SZ,云内动力,汽车,"8,375,903,642.25",67.5692
000905.SZ,厦门港务,交通运输,"4,538,890,449.72",-2.6565
000906.SZ,浙商中拓,钢铁,"4,377,091,658.39",14.6952
000908.SZ,景峰医药,医药,"4,064,557,501.62",21.8997
000909.SZ,数源科技,综合,"3,648,781,944.00",3.3419
000910.SZ,大亚圣象,轻工制造,"7,783,992,450.00",2.4454
000911.SZ,南宁糖业,农林牧渔,"2,514,868,071.12",29.3333
000912.SZ,泸天化,基础化工,"6,146,560,000.00",-18.8406
000913.SZ,钱江摩托,汽车,"12,322,573,120.00",156.9615
000915.SZ,山大华特,医药,"5,497,416,638.10",-10.6603
000917.SZ,电广传媒,传媒,"6,846,797,112.54",-28.2382
000918.SZ,嘉凯城,房地产,"6,152,293,015.00",-42.8811
000919.SZ,金陵药业,医药,"3,719,520,000.00",3.4895
000920.SZ,南方汇通,电力及公用事业,"2,966,660,000.00",7.1452
000921.SZ,海信家电,家电,"17,304,304,179.91",17.9317
000922.SZ,佳电股份,电力设备及新能源,"4,858,975,950.36",27.9285
000923.SZ,河钢资源,钢铁,"17,238,571,860.01",80.0207
000925.SZ,众合科技,机械,"3,391,373,737.44",-6.8657
000926.SZ,福星股份,房地产,"4,821,936,994.74",-21.5987
000927.SZ,*ST夏利,汽车,"30,867,779,949.90",7.1567
000928.SZ,中钢国际,建筑,"5,554,450,203.64",-5.9262
000929.SZ,兰州黄河,食品饮料,"1,865,090,640.00",44.6686
000930.SZ,中粮科技,农林牧渔,"15,317,920,699.48",24.7347
000931.SZ,中关村,综合,"5,023,356,969.94",-32.0082
000932.SZ,华菱钢铁,钢铁,"28,867,953,663.81",4.9842
